swift,Did I close my fist around something delicate? Did I shatter you?
swift,Do you miss the rogue who coaxed you into paradise and left you there?
speare,"My tongue will tell the anger of my heart, or else my heart concealing it will break"
swift,Past the curses and cries Beyond the terror in the nightfall
speare,In black ink my love may still shine bright
swift,Now my eyes leak acid rain on the pillow where you used to lay your head
swift,I'd meet you where the spirit meets the bones in a faith-forgotten land
swift,Your touch brought forth an incandescent glow Tarnished but so grand
speare,Love is merely a madness
swift,"The old widow goes to the stone every day But I don't, I just sit here and wait Grieving for the living"
speare,How can it be said I am alone when all the world is here to look on me?
speare,"And yet, to say the truth, reason and love keep little company together nowadays"
swift,I wish to know the fatal flaw that makes you long to be magnificently cursed
swift,Now you hang from my lips like the Gardens of Babylon
speare,My pride fell with my fortunes
swift,"Staring out an open window, catching my death"
swift,Can't not think of all the cost and the things that will be lost
speare,"Speak low, if you speak love"
swift,"In the cracks of light, I dreamed of you"
swift,How can a person know everything at eighteen But nothin' at twenty-two
speare,Cowards die many times before their deaths; the valiant never taste of death but once.
speare,"Life is as tedious as twice-told tale, vexing the dull ear of a drowsy man."
speare,"God has given you one face, and you make yourself another."
swift,The skeletons in both our closets plotted hard to fuck this up
speare,Love is not love which alters when it alteration finds.
swift,"A dwindling, mercurial high A drug that only worked the first few hundred times"
swift,"Barefoot in the kitchen Sacred new beginnings That became my religion, listen"
swift,Familiarity breeds contempt So put mе in the basement Whеn I want the penthouse of your heart
speare,Misery acquaints a man with strange bedfellows.
speare,"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
swift,"Spiderboy, king of thieves Weave your little webs of opacity"
speare,"Love sought is good, but given unsought, is better."
speare,"Love alters not with his brief hours and weeks, but bears it out even to the edge of doom."
swift,You understand now why they lost their minds and fought the wars And why I've spent my whole life trying to put it in words.
swift,No amount of freedom gets you clean I’ve still got you all over me
speare,"Don't waste your love on somebody, who doesn't value it."
speare,I would not wish any companion in the world but you.
swift,While he was doing lines and crossing all of mine someone told his white collar crimes to the FBI
speare,"Do not swear by the moon, for she changes constantly. Then your love would also change."
swift,"Lord, what will become of me Once I've lost my novelty?"
swift,Gold was the color of the leaves When I showed you around Centennial Park Hell was the journey but it brought me heaven
speare,Love is a smoke made with the fume of sighs.
speare,He jests at scars that never felt a wound.
swift,No one sees when you lose when you’re playing solitaire.
speare,Love is too young to know what conscience is.
speare,"The tempter or the tempted, who sins most?"
swift,"Sorry, I can't see facts through all of my fury"
speare,For sweetest things turn sourest by their deeds; lillies that fester smell far worse than weeds.
speare,"If music be the food of love, play on."
speare,Give sorrow words; the grief that does not speak knits up o-er wrought heart and bids it break.
swift,You drew stars around my scars but now I’m bleeding
swift,"You said it was a great love, one for the ages But if the story’s over, why am I still writing pages?"
speare,"Love looks not with the eyes, but with the mind, and therefore is winged Cupid painted blind."
speare,Brevity is the soul of wit.
swift,"And you’ll save all your dirtiest jokes for me And at every table, I’ll save you a seat, lover"
swift,"Cause you got her on your arm and me in the wings I'll get your longing glances, but she'll get your ring"
speare,"Love all, trust a few, do wrong to none."
swift,And all of my heroes die all alone. Help me hold on to you.
speare,"Did my heart love till now? Forswear it, sight! For I ne'er saw true beauty till this night."
swift,It takes everything in me just to get up each day But it’s wonderful to see that you’re okay
swift,I want to watch wisteria grow right over my bare feet ‘Cause I haven’t moved in years
speare,"It is a tale told by an idiot, full of sound and fury, signifying nothing."
speare,Better three hours too soon than a minute too late.
swift,That night we couldn't quite forget When we decided to move the furniture so we could dance
swift,"I knew you dancing in your Levis, drunk under a streetlight"
speare,Expectation is the root of all heartache.
swift,"I’m still a believer but I don’t know why I’ve never been a natural All I do is try, try, try"
speare,"Doubt thou the stars are fire, doubt that the sun doth move. Doubt truth to be a liar, but never doubt I love."
speare,"And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everything."
swift,With every guitar string scar on my hand I take this magnetic force of a man to be my lover
swift,"The mischief, the gift-wrapped suburban dreams Sorry for not winning you an arcade ring"
speare,"All the world's a stage, and all the men and women merely players. They have their exits and their entrances; and one man in his time plays many parts."
speare,All that glisters is not gold.
swift,"They say love's for show, but I would die for you in secret"
swift,But the monsters turned out to be just trees When the sun came up you were looking at me
speare,Words without thoughts never to heaven go.
speare,Heat not a furnace for your foe so hot that it do singe yourself.
speare,"The robbed that smiles, steals something from the thief."
swift,It was the end of a decade But the start of an age
swift,"I didn't have it in myself to go with grace 'Cause when I'd fight, you used to tell me I was brave"
speare,I am one who loved not wisely but too well.
swift,"Just between us, did the love affair maim you too?"
speare,The devil can cite Scripture for his purpose.
swift,"I'll get older, but your lovers stay my age"
speare,"Sweet are the uses of adversity which, like the toad, ugly and venomous, wears yet a precious jewel in his head."
speare,"So we grew together, Like to a double cherry, seeming parted, But yet an union in partition, Two lovely berries moulded on one stem."
swift,"I used to switch out these Kens, I'd just ghost"
swift,You held your pride like you should have held me
speare,"Self-love, my liege, is not so vile a sin, as self-neglecting."
swift,"Took this dagger in me and removed it Gain the weight of you then lose it Believe me, I could do it"
speare,Shall I compare thee to a summer's day? Thou art more lovely and more temperate.
swift,"Clover blooms in the fields Spring breaks loose, the time is near"
swift,My castle crumbled overnight I brought a knife to a gunfight They took the crown but it's alright
swift,I once believed love would be burning red But it's golden
speare,I love you with so much of my heart that none is left to protest.
speare,"Love is heavy and light, bright and dark, hot and cold, sick and healthy, asleep and awake."
swift,"Long were the nights when my days once revolved around you Counting my footsteps Praying the floor won’t fall through, again"
